4952,ikaragiro,dairy
2763,ikaramu,pen
4372,ikarine,notebook
2768,ikariso,underwear
2769,ikarita,card
2770,ikaritiye,quarter
2771,ikarito,"cardboard box"
5645,ikaro,"ceramic tile"
2773,ikaroseri,bodywork
2774,ikaroti,carrot
2779,ikawa,coffee
2780,ikaye,notebook
5129,ikaze,welcome
2782,ikaziye,"bottle rack"
2788,ikeki,cake
2797,ikereta,sourness
1973,ikiba,"existing thing"
1979,ikibabi,leaf
1984,ikibaho,blackboard
1989,ikibambasi,wall
1993,ikibando,baton
4911,ikibanza,"building site"
2022,ikibaye,happening
2023,ikibazo,question
2035,ikibero,thigh
2041,ikibibi,birthmark
2047,ikibindi,"clay water pot"
2050,ikibiribiri,cuckoo
2052,ikibiriti,"box of matches"
4665,ikibondo,baby
2075,ikibuga,courtyard
2086,ikibuno,bottom
2094,ikibuye,"large rock"
2097,ikibwana,puppy
2107,ikibyimba,abscess
4685,ikidendezi,pond
2245,ikidukikije,environment
2338,ikigage,"sorghum beer"
2363,ikiganiro,conversation
2368,ikiganza,hand
2373,ikigaragazwa,"visible thing"
2388,ikigata,wheel
2394,ikigega,store
5315,ikigendajuru,spacecraft
2406,ikigeragezo,temptation
5219,Ikigereki,"Greek (language)"
2410,ikigero,age
2420,ikigina,grey
2425,ikigirwamana,idol
2430,ikigo,buildings
4777,ikigobe,gulf
5420,ikigombero,condition
2449,ikigoramye,bend
2453,ikigori,corn
4318,ikigoryi,moron
2472,ikiguri,"swarm of insects"
2481,ikiguzi,cost
4771,ikigwari,"powerless person"
2488,ikigwi,achievement
2540,ikihendutse,"cheap thing"
2546,ikihenze,"expensive thing"
4936,ikijigo,pipe
4542,ikijigo,molar
2712,ikijumba,"sweet potato"
2943,ikilo,kilo
2944,ikilometero,kilometre
2962,ikimasa,"calf (male)"
2975,ikimenyetso,sign
2990,ikimonyo,ant
2998,ikimuga,invalid
2999,ikimurangaza,distraction
4745,ikimyira,mucus
3007,ikinamico,theatre
4540,ikinege,"only child"
5747,ikingira,vaccination
4528,ikinimfu,"amputated limb"
4463,ikinogori,"eye socket"
3030,ikinono,hoof
3036,ikintu,thing
3042,ikinya,"thing of"
3045,ikinyabiziga,vehicle
3046,ikinyabumwe,"one of something"
3049,ikinyabuzima,"living thing"
3051,ikinyacumi,decade
3056,Ikinyakoreya,"Korean language"
3064,ikinyamakuru,newspaper
3067,ikinyamateka,newspaper
4903,ikinyampeke,cereal
3079,ikinyandaro,"unwed mother"
3090,Ikinyarwanda,Kinyarwanda
3092,ikinyazina,pronoun
3093,ikinyejana,century
3113,ikinyobwa,"lima bean"
3117,ikinyogote,porcupine
3122,ikinyoma,lie
4990,ikinyomoro,tamarillo
4491,ikinyunguti,pinch
2817,ikipe,team
3267,ikiragi,"mute person"
3269,ikirahure,glass
3277,ikiranga,attribute
3281,ikirangirire,"famous person"
5480,ikirango,seal
3287,ikiraro,bridge
5205,Ikiratini,"Latin (language)"
3292,ikirato,shoe
3295,ikirayi,"Irish potato"
3298,ikirego,accusation
3299,ikirema,cripple
3302,ikiremu,patch
3303,ikiremwa,"created thing"
3308,ikirenge,foot
3314,ikirere,sky
3321,ikiribwa,food
3331,ikiringiti,blanket
2824,ikiriro,"things that save"
3350,ikirondwe,tick
3361,ikirorero,town
3362,ikirori,party
3368,ikiruhuko,rest
3372,Ikirundi,Kirundi
3375,ikirundo,heap
3376,ikirunga,volcano
5301,ikirutsi,vomit
3379,ikirwa,island
4632,ikiryambeba,"grass snake"
3827,ikitunganye,"correct thing"
3909,ikivuguto,"fermented milk"
3910,ikivugwaho,subject
3916,ikivume,outcast
5083,ikivumvuri,Cockchafer
3920,ikivunge,crowd
3936,ikiyaga,lake
4499,ikiyega,"moving body"
3946,ikiyiko,spoon
4906,ikiza,epidemic
3964,ikizamini,examination
3968,ikizenga,pool
3973,ikizibaho,dress
3974,ikiziga,wheel
3986,ikizinga,spot
5211,Ikizulu,"Zulu (language)"
2831,ikobyi,jeans
2856,ikonji,holiday
2865,ikoraniro,gathering
2868,ikorasi,chorus
2872,ikoresha,use
2877,ikoro,tax
2884,ikosa,mistake
2885,ikositimu,costume
2888,ikoti,coat
2941,ilitiro,litre
1900,imakasi,scissors
2954,Imana,God
2958,imari,treasury
2964,imashini,machine
1978,imbabazi,forgiveness
1981,imbaga,crowd
4319,imbago,border
5639,imbamutima,emotion
2002,imbaraga,strength
2003,imbaragasa,flea
4890,imbarutso,cause
2013,imbata,slave
2014,imbata,duck
2024,imbeba,mouse
2025,imbegeti,bucket
2027,imbeho,coldness
2057,imboga,vegetable
2058,imbogo,buffalo
2059,imbohe,captive
2060,imbohore,"free person"
2067,imboni,"pupil of eye"
2069,imboro,penis
2078,imbuganyuma,background
2084,imbunda,gun
2091,imbusane,mismatch
2092,imbuto,seed
4459,imbuzi,alert
2095,imbwa,dog
2096,imbwakazi,"female dog"
2111,imbyiro,"dirt on body"
2971,imena,principal
2295,imfashanyo,aid
2297,imfatamajwi,"audio recorder"
3213,imfubyi,orphan
2324,imfungwa,prisoner
2328,imfura,firstborn
2033,imibereho,conduct
2401,imigenzereze,habits
2424,imigirire,"manner of doing"
2932,imikwerere,"middle age"
2978,imimerere,characteristics
3335,imirire,"edible things"
5617,imirwano,fighting
5286,imisumbi,"hip joint"
3691,imitangire,"time of offering"
3727,imitegekere,administration
4799,imitunu,"wide open eyes"
3838,imiturire,community
4597,imiyoborere,"way of governing"
2988,imodokari,car
5194,imoko,"human nipple"
4617,imondo,"serval wild cat"
4521,imoso,"left arm"
2992,imoteri,motor
3165,impagarara,anguish
3169,impaka,argument
4933,impakanyi,negative
3172,impamba,provisions
3173,impamo,reality
3174,impamvu,reason
4497,impanda,trumpet
3176,impanga,twin
3179,impano,gift
3183,impanuka,accident
4983,impanuro,advice
4638,impara,impala
4637,imparage,zebra
4702,impatwe,constipation
3199,impera,end
3200,imperekeza,groomsman
3209,impfizi,bull
3225,impinduka,change
5599,impindura,pancreas
3226,impine,abbreviation
3227,impinga,top
5060,impiri,"wooden club"
4631,impiri,viper
5077,impiswi,diarrhoea
3233,impitagihe,"past tense"
3238,impongano,atonement
3246,impuguke,"skilled person"
3247,impuha,rumours
3248,impuhwe,pity
3249,impumyi,"blind person"
3251,impundu,chimpanzee
3250,impundu,acclamation
3252,impungenge,anxiety
3253,impunzi,refugee
3256,impuzanyito,synonym
5632,impuzashusho,homonym
3257,impwerume,"male dog"
3258,impyiko,kidney
3259,impyisi,hyena
4500,imvange,mixture
3903,imvubu,hippopotamus
3907,imvugo,speech
5635,imvugwarimwe,homophone
3913,imvumba,sack
4376,imvune,injury
3926,imvura,rain
3929,imvururu,riot
4989,imvuvu,dandruff
1924,imyandikire,spelling
5720,imyidagaduro,entertainment
2629,imyifatire,behaviour
2630,imyifato,behaviour
2639,imyigire,"manner of study"
2688,imyizerere,beliefs
5095,imyororokere,reproduction
3866,imyubakire,architecture
3006,inama,meeting
1922,inanasi,pineapple
3014,inazi,coconut
2114,incabiti,axe
4613,incakura,sharp
4429,incamake,summary
2128,incengezi,malware
2156,incungu,ransom
2175,indagihe,"present tense"
2178,indahemuka,"faithful person"
2181,indakemwa,perfection
2185,indangahantu,preposition
2200,indaya,prostitute
2204,indege,airplane
2208,indembe,"dying person"
4954,indeshyo,height
2218,indimu,lemon
2222,indiri,den
2223,indirimbo,song
2231,indobo,bucket
2236,indogobe,donkey
5745,indomo,"noun augment"
5764,indondogozi,chatterbox
2239,indorerwamo,mirror
4955,indoro,eyes
2247,induru,"cry of alarm"
2251,indwara,sickness
2253,indyankwi,axe
2254,indyarya,hypocrite
4344,indyo,"right arm"
4417,indyo,regimen
4577,inema,talent
2264,inenge,imperfection
4334,ingabire,talent
4770,ingabo,shield
2335,ingabo,army
2339,ingagi,gorilla
5409,ingamba,policy
2343,ingamba,plan
2345,ingamiya,camel
2359,ingando,camp
5608,inganji,victory
2364,ingano,wheat
2365,ingano,size
2377,ingarane,"compost pit"
2383,ingaruka,consequence
2387,ingashyi,oar
4984,ingegera,vagrant
4956,ingendo,gait
2398,ingengabihe,schedule
2402,ingenzi,"important thing"
4641,ingeragere,gazelle
2413,ingese,rust
2414,ingeso,characteristic
2422,ingingo,segment
5229,ingirangingo,cell
2426,ingisha,charm
2434,ingoboka,"unexpected aid"
2435,ingobyi,hammock
2436,ingofero,hat
2437,ingoga,speed
4946,ingohe,"eye lashes"
2439,ingoma,drum
2440,ingombajwi,consonant
2442,ingombwa,"essential thing"
2446,ingona,crocodile
2450,ingorane,difficulties
5742,ingoro,palace
4322,ingorofani,wheelbarrow
2458,ingororano,reward
4804,ingoto,"Adam's apple"
2463,ingoyi,bonds
2465,ingufu,strength
2467,inguge,primate
4929,ingumba,"sterile thing"
2469,ingumi,punch
2470,ingunguru,barrel
4835,inguni,angle
2476,ingurube,pig
4894,ingutu,toughness
2480,inguzanyo,loan
2483,ingwa,chalk
2487,ingwe,leopard
3022,iniforume,uniform
2637,inigi,bead
4900,injajwa,gossip
2701,injiji,"ignorant person"
2722,injyana,tempo
4671,injyanamuntu,extraordinary
2737,inkambi,camp
4625,inkanga,guineafowl
4998,inkangu,mudslide
2787,inkeke,"urgent need"
2790,inkende,"grivet monkey"
2799,inkeri,berries
2802,inkezero,saw
4419,inkike,wall
4328,inkiko,frontiers
2806,inkima,"blue monkey"
2810,inkingi,pole
2816,inkinyoma,falsehood
2829,inkobe,"forest animal"
2835,inkoko,chicken
2836,inkoko,"flat basket"
2837,inkokora,elbow
2842,inkombe,"bank of river"
2846,inkomoko,origin
4485,inkomyi,obstacle
2850,inkongoro,"milk pot"
2851,inkongoro,vulture
2854,inkoni,stick
2857,inkono,"clay cooking pot"
4672,inkoramutima,"close friend"
2866,inkoranya,dictionary
4379,inkoro,collarbone
2880,inkorora,cough
2886,inkota,sword
2887,inkotanyi,activist
2889,inkovu,scar
2894,inkuba,thunder
4686,inkubiri,atmosphere
5042,inkuge,ark
2898,inkuka,beach
2907,inkunga,support
5043,inkura,rhinoceros
2917,inkuru,story
5007,inkwakuzi,"lively person"
2924,inkwano,dowry
2925,inkware,"partridge (bird)"
5017,inkwenene,mockery
3110,innyo,anus
3029,inomero,number
5303,inoni,"finger snap"
3031,inota,score
4993,inote,bill
4629,insana,"mamba (snake)"
4436,inseko,smile
3503,inshimusi,"cattle thief"
3504,inshinga,verb
3506,inshingano,responsibility
4630,inshira,"spitting cobra"
3534,inshunda,fringe
3536,inshungu,ransom
3541,inshuro,time
3546,inshuti,friend
3562,inshyi,slaps
3566,inshyimbo,"walking stick"
4331,insina,"banana tree"
3593,insinga,wires
3654,inswa,"flying termite"
5386,inswaswa,"winged termite"
3661,intabera,"just person"
4895,intaho,home
3676,intama,sheep
3677,intambara,battle
3681,intambwe,step
3684,intananya,"cord of tongue"
4889,intandaro,cause
5096,intanga,semen
3693,intangiriro,beginning
3696,intango,"large water pot"
4607,intantu,"hip joint"
3710,intare,lion
4626,intashya,swallow
3716,intashyo,greeting
4536,intati,betrayer
3720,intaza,"rock in water"
3722,intebe,chair
3726,intege,strength
3732,intego,purpose
3735,integuro,ornament
3744,inteko,group
4515,intera,distance
3755,intere,unconsciousness
2661,interineti,internet
